Store_Name,Floor_name,Floor_Index,latitude,longitude
49ers Team Store,Level 2,2,37.783931,-122.406086
Abercrombie & Fitch,Concourse Level,0,37.783944,-122.407537
Abercrombie & Fitch,Level 1,1,37.78398,-122.407454
abercrombie kids,Level 3,3,37.783812,-122.406021
Adidas,Level 1,1,37.784466,-122.406961
Adidas,Level 2,2,37.784555,-122.406814
Ajisen Ramen,Concourse Level,0,37.783767,-122.40707
Aldo,Level 3,3,37.783986,-122.406922
Amazon Pop-Up,Level 1,1,37.784453,-122.406443
American Eagle Outfitters,Level 1,1,37.784188,-122.407159
Amiri Salon,Level 3,3,37.783737,-122.407253
Amoura Cafe Fresh Mediterranean,Concourse Level,0,37.784625,-122.406417
Andale Mexican Restaurant,Concourse Level,0,37.784511,-122.405956
Aritzia,Level 1,1,37.78367,-122.407313
Auntie Anne's Pretzels,Level 2,2,37.784341,-122.406785
Aveda,Level 2,2,37.784316,-122.40656
Banana Republic,Level 3,3,37.78435,-122.406064
bareMinerals,Level 2,2,37.784515,-122.406218
Bath & Body Works,Level 3,3,37.784135,-122.406406
BCBGMAXAZRIA,Level 2,2,37.784433,-122.40608
Beard Papa's Cream Puffs,Concourse Level,0,37.784505,-122.406555
bebe,Level 2,2,37.784142,-122.40742
Bespoke Coworking,Level 4/N1,4,37.784178,-122.405776
Bespoke Events,Level 4/N1,4,37.783859,-122.40635
Bloomingdale's,Concourse Level,0,37.783887,-122.405783
Bloomingdale's,Level 1,1,37.78402,-122.405965
Bloomingdale's,Level 2,2,37.783852,-122.405805
Bloomingdale's,Level 3,3,37.783745,-122.405601
Bloomingdale's,Level 4/N1,4,37.783802,-122.405736
Bose,Level 4/N1,4,37.784539,-122.406081
BOSS,Level 1,1,37.784185,-122.406379
Brighton Collectibles,Level 1,1,37.784221,-122.406652
Bristol Farms,Concourse Level,0,37.784159,-122.40635
Brookstone,Level 2,2,37.784195,-122.407081
Buckhorn Grill,Concourse Level,0,37.784569,-122.406141
Burberry,Level 1,1,37.784464,-122.406181
Burke Williams Day Spa,Level 5/N2,5,37.784204,-122.406574
Cafe Bellini,Concourse Level,0,37.783944,-122.407175
Caffe Central,Concourse Level,0,37.784294,-122.406164
Cako Bakery,Concourse Level,0,37.78467,-122.406679
Camper,Level 2,2,37.784172,-122.406733
Century San Francisco Centre 9,Level 5/N2,5,37.78389,-122.405736
Champs Sports,Concourse Level,0,37.784116,-122.407124
Charley's Grilled Subs,Concourse Level,0,37.784415,-122.405846
Chipotle,Concourse Level,0,37.783791,-122.406984
Claire's Boutique,Concourse Level,0,37.784126,-122.407061
Clarks,Level 3,3,37.78424,-122.406455
Club Monaco Men,Level 1,1,37.783909,-122.407393
Club Monaco Women,Level 1,1,37.783864,-122.406836
Coach,Level 2,2,37.783744,-122.407323
Coriander Gourmet Thai,Concourse Level,0,37.784596,-122.40621
Corner W,Concourse Level,0,37.784808,-122.406501
Cotton On,Level 2,2,37.784252,-122.406942
Currency Exchange International ,Level 1,1,37.78381,-122.407336
DAVIDsTEA,Concourse Level,0,37.784411,-122.406709
Dyson,Level 2,2,37.783832,-122.407021
ECCO,Level 2,2,37.784267,-122.406528
Eddie Bauer,Level 3,3,37.784615,-122.406862
Express,Level 2,2,37.783745,-122.407149
Express,Level 3,3,37.783629,-122.407154
Eyebrow Plus,Level 3,3,37.784386,-122.406589
Finish Line,Level 3,3,37.783912,-122.407474
Fire of Brazil,Concourse Level,0,37.784447,-122.406224
Forever Flawless,Level 3,3,37.784701,-122.406758
Forever Flawless ,Level 2,2,37.784024,-122.407272
Fossil,Level 3,3,37.784191,-122.407111
Francesca's Collection ,Level 2,2,37.783724,-122.406893
Ghirardelli Ice Cream and Chocolate Shop ,Concourse Level,0,37.784449,-122.406665
GNC,Concourse Level,0,37.784053,-122.407307
Go! Toys and Games,Level 3,3,37.784153,-122.405871
